feature,mean_importance,std_importance,selection_frequency,mean_execution_time
job.jobParameters.meniscus_range.@attributes.value,1095.3799359318032,1147.6640515922772,73.33333333333333,2.354228671391805
job.jobParameters.ff0_resolution.@attributes.value,261.63823717259964,32.94190390139342,100.0,2.354228671391805
job.jobParameters.ff0_min.@attributes.value,125.90126930953176,21.444610038126147,100.0,2.354228671391805
job.jobParameters.uniform_grid.@attributes.value,123.94319589265992,32.4058430053986,100.0,2.354228671391805
job.jobParameters.meniscus_points.@attributes.value,60.701600881471556,4.03980436377712,100.0,2.354228671391805
job.jobParameters.tinoise_option.@attributes.value,53.1816248696335,16.99184370794769,100.0,2.354228671391805
job.jobParameters.s_resolution.@attributes.value,43.82401395475204,7.69692624643971,100.0,2.354228671391805
job.jobParameters.rinoise_option.@attributes.value,34.233398263675355,11.265549884792422,100.0,2.354228671391805
job.jobParameters.ff0_grid_points.@attributes.value,28.021442704858238,3.161884559477487,100.0,2.354228671391805
job.jobParameters.mc_iterations.@attributes.value,26.646703703781245,0.4966839566835179,100.0,2.354228671391805
job.jobParameters.max_iterations.@attributes.value,23.257687147670023,1.532413640818766,100.0,2.354228671391805
CPUCount,16.936380415743216,0.4191291539560194,100.0,2.354228671391805
simpoints.0,5.175973242262021,1.3212518093575676,100.0,2.354228671391805
job.cluster.@attributes.name,1.9382275977928567,0.45698392448937286,100.0,2.354228671391805
edited_scans.0,1.4146526454600836,0.050494598257655766,100.0,2.354228671391805
job.jobParameters.ff0_max.@attributes.value,1.0549773195422585,1.2919714544883043,100.0,2.354228671391805
job.jobParameters.s_grid_points.@attributes.value,0.4523249090532107,0.2964878892053352,100.0,2.354228671391805
edited_radial_points.0,0.11208169816592589,0.009321518979645697,100.0,2.354228671391805
job.jobParameters.s_min.@attributes.value,0.0461388810311469,0.06050783540486806,100.0,2.354228671391805
max_rss,0.03744590234690933,0.002184741647324698,100.0,2.354228671391805
job.jobParameters.s_max.@attributes.value,0.001538025482500804,0.00027878632724844947,100.0,2.354228671391805
wallTime,0.00021827740432570368,3.4759594491908796e-05,100.0,2.354228671391805
job.jobParameters.req_mgroupcount.@attributes.value,0.0,0.0,0.0,2.354228671391805
